universidad,estado_fuente,url_altillo,url_oficial,pagina_fuente
Instituto de Zumpango En Estudios Superiores En Criminalística (IZESC),Estadodemexico,https://www.altillo.com/universidades/mexico/de/estadodemexico/Instituto_de_Zumpango_En_Estudios_Superiores_En_Criminalistica_IZESC.asp,,https://www.altillo.com/universidades/mexico/de/estadodemexico.asp
Instituto del Desierto de Santa Ana (IDESA),Sonora,https://www.altillo.com/universidades/mexico/de/sonora/Instituto_del_desierto_de_Santa_Ana_IDESA.asp,https://www.idesa.edu.mx,https://www.altillo.com/universidades/mexico/de/sonora.asp
Instituto del Potosí,Sanluispotosi,https://www.altillo.com/universidades/mexico/de/sanluispotosi/Instituto_del_Potosi.asp,http://www.institutodelpotosi.edu.mx,https://www.altillo.com/universidades/mexico/de/sanluispotosi.asp
Instituto del Valle de Apatzingan,Michoacan,https://www.altillo.com/universidades/mexico/de/michoacan/Instituto_del_Valle_de_Apatzingan.asp,http://www.idelvalle.com,https://www.altillo.com/universidades/mexico/de/michoacan.asp
Instituto del Valle de Candamo,Coahuila,https://www.altillo.com/universidades/mexico/de/chihuahua/Instituto_del_Valle_de_Candamo.asp,,https://www.altillo.com/universidades/mexico/de/coahuila.asp
Instituto Dicormo,Michoacan,https://www.altillo.com/universidades/mexico/de/michoacan/Instituto_Dicormo.asp,http://www.dicormo.com,https://www.altillo.com/universidades/mexico/de/michoacan.asp
Instituto Didaxis de Estudios Superiores,Coahuila,https://www.altillo.com/universidades/mexico/de/coahuila/Instituto_Didaxis_de_Estudios_Superiores.asp,,https://www.altillo.com/universidades/mexico/de/coahuila.asp
Instituto Doctor Carlos Coqui,Michoacan,https://www.altillo.com/universidades/mexico/de/michoacan/Instituto_Doctor_Carlos_Coqui.asp,http://drcoqui.educa.ws/,https://www.altillo.com/universidades/mexico/de/michoacan.asp
Instituto Doctoral Universitario,Estadodemexico,https://www.altillo.com/universidades/mexico/de/estadodemexico/Instituto_Doctoral_Universitario.asp,,https://www.altillo.com/universidades/mexico/de/estadodemexico.asp
Instituto Dr Carlos Coqui,Coahuila,https://www.altillo.com/universidades/mexico/de/coahuila/Instituto_Dr_Carlos_Coqui.asp,http://drcoqui.educa.ws/,https://www.altillo.com/universidades/mexico/de/coahuila.asp
Instituto Dr. Carlos Coqui,Zacatecas,https://www.altillo.com/universidades/mexico/de/zacatecas/Instituto_Dr_Carlos_Coqui.asp,http://drcoqui.educa.ws/,https://www.altillo.com/universidades/mexico/de/zacatecas.asp
Instituto Educativo Anglo Español,Tamaulipas,https://www.altillo.com/universidades/mexico/de/tamaulipas/Instituto_Educativo_Anglo_Espanol.asp,http://www.angloespanol.edu.mx,https://www.altillo.com/universidades/mexico/de/tamaulipas.asp
Instituto Educativo David Paul Ausubel,Estadodemexico,https://www.altillo.com/universidades/mexico/de/estadodemexico/Instituto_Educativo_David_Paul_Ausubel.asp,http://www.iausubel.com.mx,https://www.altillo.com/universidades/mexico/de/estadodemexico.asp
Instituto Educativo de La Cuenca del Papaloapan (IECUP),Veracruz,https://www.altillo.com/universidades/mexico/de/veracruz/Instituto_Educativo_de_la_Cuenca_del_Papaloapan_ICEP.asp,http://www.iecup.edu.mx/,https://www.altillo.com/universidades/mexico/de/veracruz.asp
Instituto Educativo Felipe Carrillo Puerto,Quintanaroo,https://www.altillo.com/universidades/mexico/de/quintanaroo/Instituto_Educativo_Felipe_Carrillo_Puerto.asp,,https://www.altillo.com/universidades/mexico/de/quintanaroo.asp
Instituto Educativo Margarita Olivo Lara,Veracruz,https://www.altillo.com/universidades/mexico/de/veracruz/Instituto_Educativo_Margarita_Olivo_Lara.asp,,https://www.altillo.com/universidades/mexico/de/veracruz.asp
Instituto Educativo Panamericano,Veracruz,https://www.altillo.com/universidades/mexico/de/veracruz/Instituto_Educativo_Panamericano.asp,http://www.institutopanamericano.com.mx,https://www.altillo.com/universidades/mexico/de/veracruz.asp
