backend,phase,queries_served,hit_rate,avg_results_per_query,pdf_yield,official_domain_ratio,latency_p50_ms,latency_p95_ms,validated_document_rate,false_positive_rate
brave,open,376,0.0,0,0.0,0.0,588.5,640.2,,
serper,open,376,0.0,0,0.0,0.0,242.7,254.3,,
