backend,phase,queries_served,hit_rate,avg_results_per_query,pdf_yield,official_domain_ratio,latency_p50_ms,latency_p95_ms,validated_document_rate,false_positive_rate
brave,open,1195,0.0,0,0.0,0.0,538.6,634.9,,
serper,open,1195,0.0,0,0.0,0.0,244.8,256.3,,
