backend,phase,queries_served,hit_rate,avg_results_per_query,pdf_yield,official_domain_ratio,latency_p50_ms,latency_p95_ms,validated_document_rate,false_positive_rate
brave,open,473,0.0,0,0.0,0.0,591.4,637.3,,
serper,open,473,0.0,0,0.0,0.0,245.8,264.0,,
