backend,phase,queries_served,hit_rate,avg_results_per_query,pdf_yield,official_domain_ratio,latency_p50_ms,latency_p95_ms,validated_document_rate,false_positive_rate
brave,open,223,0.0,0,0.0,0.0,533.2,545.6,,
serper,open,223,0.0,0,0.0,0.0,243.0,256.0,,
