backend,phase,queries_served,hit_rate,avg_results_per_query,pdf_yield,official_domain_ratio,latency_p50_ms,latency_p95_ms,validated_document_rate,false_positive_rate
serper,open,2,0.0,0,0.0,0.0,710.0,710.3,,
brave,open,6,0.8333,7,0.2143,0.0,627.7,853.7,0.4286,1.0
