backend,phase,queries_served,hit_rate,avg_results_per_query,pdf_yield,official_domain_ratio,latency_p50_ms,latency_p95_ms,validated_document_rate,false_positive_rate
brave,open,2906,0.0809,0.18,0.0474,0.0,612.4,968.0,0.6107,0.9942
serper,open,2671,0.0,0,0.0,0.0,243.5,257.3,,
