backend,phase,queries_served,hit_rate,avg_results_per_query,pdf_yield,official_domain_ratio,latency_p50_ms,latency_p95_ms,validated_document_rate,false_positive_rate
brave,open,270,0.0,0,0.0,0.0,535.2,634.7,,
serper,open,270,0.0,0,0.0,0.0,243.4,253.1,,
